safename	fullname
sentinel-protocol	Sentinel Protocol
hiveterminal-token	Hiveterminal Token
business-credit-alliance-chain	Business Credit Alliance Chain
distributed-credit-chain	Distributed Credit Chain
liquidity-network	Liquidity Network
